1,101,537,360,76,172,1.0,-1,-1,-1
1,101,537,360,76,172,1.0,-1,-1,-1
2,101,755,388,230,158,1.0,-1,-1,-1
2,101,825,503,89,28,1.0,-1,-1,-1
3,101,377,338,64,158,1.0,-1,-1,-1
3,101,364,424,38,43,1.0,-1,-1,-1
4,101,512,413,256,180,1.0,-1,-1,-1
4,101,588,547,102,28,1.0,-1,-1,-1
5,101,921,342,76,180,1.0,-1,-1,-1
6,101,224,378,64,165,1.0,-1,-1,-1
6,101,300,378,64,165,1.0,-1,-1,-1
7,101,601,417,204,144,1.0,-1,-1,-1
8,101,736,345,64,158,1.0,-1,-1,-1
8,101,736,345,64,158,1.0,-1,-1,-1
9,101,576,349,76,165,1.0,-1,-1,-1
9,101,915,414,217,151,1.0,-1,-1,-1
10,101,454,324,64,144,1.0,-1,-1,-1
10,101,454,324,64,144,1.0,-1,-1,-1
